%time,field.xError.proportional,field.xError.integral,field.xError.derivative,field.yError.proportional,field.yError.integral,field.yError.derivative,field.depthError.proportional,field.depthError.integral,field.depthError.derivative,field.pitchError.proportional,field.pitchError.integral,field.pitchError.derivative,field.yawError.proportional,field.yawError.integral,field.yawError.derivative,field.xGain.proportional,field.xGain.integral,field.xGain.derivative,field.yGain.proportional,field.yGain.integral,field.yGain.derivative,field.depthGain.proportional,field.depthGain.integral,field.depthGain.derivative,field.pitchGain.proportional,field.pitchGain.integral,field.pitchGain.derivative,field.yawGain.proportional,field.yawGain.integral,field.yawGain.derivative,field.xForce.proportional,field.xForce.integral,field.xForce.derivative,field.yForce.proportional,field.yForce.integral,field.yForce.derivative,field.depthForce.proportional,field.depthForce.integral,field.depthForce.derivative,field.pitchForce.proportional,field.pitchForce.integral,field.pitchForce.derivative,field.yawForce.proportional,field.yawForce.integral,field.yawForce.derivative,field.thrust_surge_port,field.thrust_surge_starboard,field.thrust_sway_bow,field.thrust_sway_stern,field.thrust_heave_bow,field.thrust_heave_stern
260000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
442000000,-2.95794773102,-0.295794773102,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.43692159653,-0.443692159653,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
604000000,-2.95328998566,-0.591123771667,0.0465774536133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.42993497849,-0.886685657501,0.0698661804199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
793000000,-2.95333504677,-0.886457276344,-0.000450611114502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.43000257015,-1.32968591452,-0.000675916671753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
978000000,-2.90635442734,-1.17709271908,0.469806194305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.35953164101,-1.76563907862,0.704709291458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1159000000,-2.87208652496,-1.46430137157,0.342679023743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.30812978745,-2.19645205736,0.514018535614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1345000000,-2.87214207649,-1.75151557922,-0.000555515289307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.30821311474,-2.62727336884,-0.00083327293396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1570000000,-2.80670690536,-2.03218626976,0.654351711273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.21006035805,-3.04827940464,0.98152756691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1756000000,-2.77476191521,-2.30966246128,0.319449901581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.16214287281,-3.46449369192,0.479174852371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1938000000,-2.74597930908,-2.58426039219,0.287826061249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.11896896362,-3.87639058828,0.431739091873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
