%time,field.xError.proportional,field.xError.integral,field.xError.derivative,field.yError.proportional,field.yError.integral,field.yError.derivative,field.depthError.proportional,field.depthError.integral,field.depthError.derivative,field.pitchError.proportional,field.pitchError.integral,field.pitchError.derivative,field.yawError.proportional,field.yawError.integral,field.yawError.derivative,field.xGain.proportional,field.xGain.integral,field.xGain.derivative,field.yGain.proportional,field.yGain.integral,field.yGain.derivative,field.depthGain.proportional,field.depthGain.integral,field.depthGain.derivative,field.pitchGain.proportional,field.pitchGain.integral,field.pitchGain.derivative,field.yawGain.proportional,field.yawGain.integral,field.yawGain.derivative,field.xForce.proportional,field.xForce.integral,field.xForce.derivative,field.yForce.proportional,field.yForce.integral,field.yForce.derivative,field.depthForce.proportional,field.depthForce.integral,field.depthForce.derivative,field.pitchForce.proportional,field.pitchForce.integral,field.pitchForce.derivative,field.yawForce.proportional,field.yawForce.integral,field.yawForce.derivative,field.thrust_surge_port,field.thrust_surge_starboard,field.thrust_sway_bow,field.thrust_sway_stern,field.thrust_heave_bow,field.thrust_heave_stern
317000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
479000000,-2.95799589157,-0.295799589157,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.43699383736,-0.443699383736,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
642000000,-2.95382022858,-0.591181612015,0.0417566299438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.43073034286,-0.886772418022,0.0626349449158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
848000000,-2.92837023735,-0.88401863575,0.254499912262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.39255535603,-1.32602795362,0.381749868393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1027000000,-2.89947652817,-1.17396628857,0.288937091827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.34921479225,-1.76094943285,0.433405637741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1214000000,-2.86683893204,-1.46065018177,0.326375961304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.30025839806,-2.19097527266,0.489563941956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1405000000,-2.8668949604,-1.74733967781,-0.000560283660889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.30034244061,-2.62100951672,-0.000840425491333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1607000000,-2.83810853958,-2.03115053177,0.287864208221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.25716280937,-3.04672579765,0.431796312332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1777000000,-2.80789923668,-2.31194045544,0.302093029022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.21184885502,-3.46791068316,0.453139543533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2015000000,-2.77049827576,-2.58899028301,0.374009609222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.15574741364,-3.88348542452,0.561014413834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2194000000,-2.72813820839,-2.86180410385,0.423600673676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.09220731258,-4.29270615578,0.635401010513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2373000000,-2.69496488571,-3.13130059242,0.331733226776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-4.04244732857,-4.69695088863,0.497599840164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2599000000,-2.66211342812,-3.39751193523,0.328514575958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-3.99317014217,-5.09626790285,0.492771863937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2787000000,-2.6303935051,-3.66055128574,0.317199230194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-3.94559025764,-5.49082692862,0.475798845291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2957000000,-2.60291409492,-3.92084269524,0.274794101715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-3.90437114239,-5.88126404285,0.412191152573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
3248000000,-2.54944515228,-4.17578721046,0.534689426422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-3.82416772842,-6.2636808157,0.802034139633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
3488000000,-2.52409625053,-4.42819683552,0.253489017487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-3.7861443758,-6.64229525328,0.38023352623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
3673000000,-2.50332713127,-4.67852954865,0.207691192627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,15.0,1.5,0.0,15.0,4.0,0.0,20.0,0.2,0.0,1.0,5.0,0.0,1.0,-3.75499069691,-7.01779432297,0.31153678894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
